Model,Type,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,Baseline,0.9649,0.9722,0.9722,0.9722,0.9914,0.953,0.0115
KNN,Baseline,0.9561,0.9718,0.9583,0.965,0.9803,0.9488,0.015
SVM,Baseline,0.9474,0.9583,0.9583,0.9583,0.9911,0.9583,0.0114
Decision Tree,Baseline,0.9211,0.9565,0.9167,0.9362,0.9226,0.9364,0.0322
Naive Bayes,Baseline,0.9298,0.9444,0.9444,0.9444,0.9861,0.9461,0.0064
Tuned LR,Improved,0.9561,0.9589,0.9722,0.9655,0.9917,0.9581,0.0032
Tuned SVM,Improved,0.9737,0.9859,0.9722,0.979,0.9931,0.9667,0.0084
Random Forest,Improved,0.9561,0.9589,0.9722,0.9655,0.9906,0.9578,0.0102
Gradient Boosting,Improved,0.9474,0.9459,0.9722,0.9589,0.9894,0.9475,0.0092
Voting Ensemble,Improved,0.9561,0.9589,0.9722,0.9655,0.997,0.9593,0.0123
